geocod,geodsg,valor,sinal_conv,sinal_conv_desc,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
16I0509,Sertã,2.8,,,Sertã,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660509
16I1418,Tomar,3.86,,,Tomar,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1418
16I1419,Torres Novas,3.44,,,Torres Novas,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1419
16I0510,Vila de Rei,,-,Dado nulo ou não aplicável,Vila de Rei,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660510
16I1420,Vila Nova da Barquinha,3.22,,,Vila Nova da Barquinha,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1420
16J0902,Almeida,,-,Dado nulo ou não aplicável,Almeida,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680902
16J0501,Belmonte,1.88,,,Belmonte,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0501
16J0903,Celorico da Beira,,-,Dado nulo ou não aplicável,Celorico da Beira,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680903
16J0503,Covilhã,3.18,,,Covilhã,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0503
16J0904,Figueira de Castelo Rodrigo,,-,Dado nulo ou não aplicável,Figueira de Castelo Rodrigo,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680904
16J0905,Fornos de Algodres,,-,Dado nulo ou não aplicável,Fornos de Algodres,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1670905
16J0504,Fundão,3.24,,,Fundão,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0504
16J0906,Gouveia,2.64,,,Gouveia,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1670906
16J0907,Guarda,3.09,,,Guarda,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680907
16J0908,Manteigas,,-,Dado nulo ou não aplicável,Manteigas,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680908
16J0909,Mêda,,-,Dado nulo ou não aplicável,Mêda,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680909
