"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"124","16E0613","Penacova",NA,"-","Dado nulo ou não aplicável","Penacova","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620613","1.º Semestre de 2018","NUTSIII"
"125","16E0614","Penela",NA,"-","Dado nulo ou não aplicável","Penela","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640614","1.º Semestre de 2018","NUTSIII"
"126","16E0615","Soure",2.71,"","","Soure","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620615","1.º Semestre de 2018","NUTSIII"
"127","16E0616","Tábua",2.66,"","","Tábua","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640616","1.º Semestre de 2018","NUTSIII"
"128","16E0617","Vila Nova de Poiares",2.45,"","","Vila Nova de Poiares","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640617","1.º Semestre de 2018","NUTSIII"
"129","16F1002","Alvaiázere",NA,"-","Dado nulo ou não aplicável","Alvaiázere","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641002","1.º Semestre de 2018","NUTSIII"
"130","16F1003","Ansião",2.68,"","","Ansião","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641003","1.º Semestre de 2018","NUTSIII"
"131","16F1004","Batalha",2.83,"","","Batalha","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631004","1.º Semestre de 2018","NUTSIII"
"132","16F1007","Castanheira de Pêra",NA,"-","Dado nulo ou não aplicável","Castanheira de Pêra","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641007","1.º Semestre de 2018","NUTSIII"
"133","16F1008","Figueiró dos Vinhos",NA,"-","Dado nulo ou não aplicável","Figueiró dos Vinhos","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641008","1.º Semestre de 2018","NUTSIII"
"134","16F1009","Leiria",4.03,"","","Leiria","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631009","1.º Semestre de 2018","NUTSIII"
"135","16F1010","Marinha Grande",3.39,"","","Marinha Grande","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631010","1.º Semestre de 2018","NUTSIII"
"136","16F1013","Pedrógão Grande",NA,"-","Dado nulo ou não aplicável","Pedrógão Grande","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641013","1.º Semestre de 2018","NUTSIII"
"137","16F1015","Pombal",3.24,"","","Pombal","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631015","1.º Semestre de 2018","NUTSIII"
"138","16F1016","Porto de Mós",2.57,"","","Porto de Mós","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631016","1.º Semestre de 2018","NUTSIII"
"139","16G0901","Aguiar da Beira",NA,"-","Dado nulo ou não aplicável","Aguiar da Beira","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1650901","1.º Semestre de 2018","NUTSIII"
"140","16G1802","Carregal do Sal",2.26,"","","Carregal do Sal","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651802","1.º Semestre de 2018","NUTSIII"
"141","16G1803","Castro Daire",NA,"-","Dado nulo ou não aplicável","Castro Daire","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651803","1.º Semestre de 2018","NUTSIII"
"142","16G1806","Mangualde",2.4,"","","Mangualde","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651806","1.º Semestre de 2018","NUTSIII"
"143","16G1809","Nelas",2.31,"","","Nelas","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651809","1.º Semestre de 2018","NUTSIII"
"144","16G1810","Oliveira de Frades",2.83,"","","Oliveira de Frades","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651810","1.º Semestre de 2018","NUTSIII"
"145","16G1811","Penalva do Castelo",NA,"-","Dado nulo ou não aplicável","Penalva do Castelo","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651811","1.º Semestre de 2018","NUTSIII"
"146","16G1814","Santa Comba Dão",2.81,"","","Santa Comba Dão","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651814","1.º Semestre de 2018","NUTSIII"
