geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
1318,Trofa,M,Trofa,146,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,610,775,862,1014,1113,1112,1164,1287,1461,1629,1608,1598,1434,1249,1082,767,598,566,20075
0119,Vale de Cambra,H,Vale de Cambra,62,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,292,394,444,490,545,550,505,600,713,768,724,767,790,746,695,523,343,327,10278
0119,Vale de Cambra,M,Vale de Cambra,81,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,267,346,380,479,478,485,522,603,702,810,866,800,812,882,749,631,552,546,10991
1315,Valongo,H,Valongo,373,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,1636,2080,2462,2567,2655,2615,2724,3120,3556,3774,3329,3182,2902,2601,2221,1509,997,670,44973
1315,Valongo,M,Valongo,383,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,1536,1994,2282,2510,2581,2622,2857,3391,3998,4216,3755,3730,3437,3119,2619,1919,1455,1295,49699
1316,Vila do Conde,H,Vila do Conde,324,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,1426,1832,2136,2182,2177,2178,2157,2623,3040,3224,2917,2940,2491,2214,1969,1372,891,624,38717
1316,Vila do Conde,M,Vila do Conde,303,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,1356,1748,1991,2113,2151,2022,2265,2832,3331,3419,3205,3240,2772,2684,2256,1775,1307,1338,42108
1317,Vila Nova de Gaia,H,Vila Nova de Gaia,1155,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,4960,6443,7446,7948,8408,7890,8391,9286,10776,11776,10760,10752,9677,8837,7867,5417,3617,2693,144099
1317,Vila Nova de Gaia,M,Vila Nova de Gaia,1042,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,4752,6110,7004,7510,8195,8269,8724,10198,11817,13174,12493,12388,11470,10453,9266,6645,5000,5215,159725
1702,Boticas,H,Boticas,11,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,63,65,83,96,74,85,92,116,146,144,174,191,229,220,187,159,124,133,2392
1702,Boticas,M,Boticas,6,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,46,70,82,107,92,79,110,132,149,129,151,179,244,241,207,223,181,180,2608
1703,Chaves,H,Chaves,106,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,489,626,705,852,859,721,761,896,1146,1225,1230,1345,1511,1501,1347,1053,757,708,17838
1703,Chaves,M,Chaves,97,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,461,581,672,823,796,714,820,964,1187,1283,1380,1621,1628,1632,1486,1262,1133,1212,19752
1706,Montalegre,M,Montalegre,18,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,99,103,131,168,168,149,159,201,232,246,272,393,421,441,403,407,347,433,4791
1706,Montalegre,H,Montalegre,16,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,85,120,113,157,196,152,166,208,242,273,268,402,432,416,400,328,257,239,4470
1709,Ribeira de Pena,H,Ribeira de Pena,17,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,77,124,126,142,112,127,122,138,172,211,193,218,283,256,182,168,136,96,2900
1709,Ribeira de Pena,M,Ribeira de Pena,14,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,70,76,110,117,131,111,137,146,167,185,196,240,278,230,208,200,156,212,2984
1712,Valpaços,H,Valpaços,29,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,150,198,249,281,282,218,256,257,376,400,460,583,565,710,619,491,418,346,6888
1712,Valpaços,M,Valpaços,32,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,138,193,211,280,279,237,251,297,391,418,480,585,656,741,735,651,556,682,7813
1713,Vila Pouca de Aguiar,H,Vila Pouca de Aguiar,24,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,121,162,191,219,274,202,230,243,336,345,413,502,517,551,456,378,241,209,5614
1713,Vila Pouca de Aguiar,M,Vila Pouca de Aguiar,39,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,118,160,204,243,277,236,240,248,357,343,399,510,581,540,510,460,336,397,6198
1301,Amarante,H,Amarante,181,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,701,1024,1191,1447,1615,1307,1244,1412,1737,1894,2002,2000,1841,1702,1325,885,708,524,24740
1301,Amarante,M,Amarante,149,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,724,1005,1197,1423,1568,1392,1317,1534,1962,2124,2143,2246,2156,1824,1457,1213,981,961,27376
1302,Baião,H,Baião,45,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,245,338,403,466,539,428,427,485,552,648,702,722,637,511,427,293,273,200,8341
1302,Baião,M,Baião,47,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,219,293,359,486,508,417,436,533,596,740,747,777,711,606,481,434,397,406,9193
0106,Castelo de Paiva,H,Castelo de Paiva,49,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,222,293,356,458,504,438,413,400,506,643,665,580,616,477,356,239,182,147,7544
0106,Castelo de Paiva,M,Castelo de Paiva,38,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,195,286,390,474,470,435,375,453,538,653,694,647,544,479,449,347,268,307,8042
